source_provider,source_dataset_id,country_code,country,stage_code,stage,year,vc_investment_usd_millions,observation_status_code,observation_status,unit_code,unit,unit_multiplier_code,unit_multiplier,currency_code,currency
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,START,Start-up and other early stage,2024,0.0,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,_T,Total,2024,30.4889536936926,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,LATER,Later stage venture,2025,18.31626912679221,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,SEED,Seed,2025,8.485223014553341,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,START,Start-up and other early stage,2025,2.9700534860983065,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),BGR,Bulgaria,_T,Total,2025,29.771545627443864,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2019,1585.500020892477,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,SEED,Seed,2019,260.87047729874,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,START,Start-up and other early stage,2019,2051.0013459066454,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,_T,Total,2019,3897.371844097863,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2020,1349.580133930606,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,SEED,Seed,2020,259.82973310562693,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,START,Start-up and other early stage,2020,1374.4780280681912,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,_T,Total,2020,2983.8878951044244,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2021,3590.7790070939177,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,SEED,Seed,2021,688.773201181072,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,START,Start-up and other early stage,2021,4891.248800739522,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,_T,Total,2021,9170.801009014513,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2022,3310.28168011708,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,SEED,Seed,2022,772.0202612756734,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,START,Start-up and other early stage,2022,3159.476354498697,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,_T,Total,2022,7241.77829589145,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2023,1771.8440853152847,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,SEED,Seed,2023,792.2923824681935,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,START,Start-up and other early stage,2023,2394.039119121417,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,_T,Total,2023,4958.175586904896,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
OECD,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),CAN,Canada,LATER,Later stage venture,2024,1633.56003221856,A,Normal value,USD_EXC,"US dollars, exchange rate converted",6,Millions,USD,US dollar
